"","pop","PC1_m","PC2_m"
"Malu","Malu",-54812.6801549787,13576.3162529351
"Muli","Muli",57773.6036517347,-9882.98136973519
"Restorff","Restorff",-56611.140295416,7270.30050637522
"Shuman","Shuman",-57664.0421555604,7968.77922274246
"Talele","Talele",147378.206565962,32561.0998904629
"Tarobi","Tarobi",1842.83606951997,-44289.6366342284
"Tiwongo","Tiwongo",67737.0362024612,-23002.6575536554
"Tuare","Tuare",-36402.2991761041,21813.8375496135
"WestChaimain","WestChaimain",-46389.3806700821,13434.3475197014
"Wulai","Wulai",-22852.1400375328,-19449.4053842052
